,text,explanation,origin
2116,Touch and go,"A risky, precarious or delicate case or state of things - such that the slightest change could prove disastrous. ",English
2117,Touch with a barge-pole - Wouldn't ,Said of something or someone so unappealing that one wouldn't want to go anywhere near.,English
2118,Touch wood ,"This
phrase is used by people who rap their knuckles on a piece of wood hoping to stave off bad luck. In the UK, the phrase 'touch wood' is used - often jokingly by tapping one's head. The phrases are sometimes spoken when a person is already experiencing some good fortune and hope that it will continue - for example ""I've been winning on every race - touch wood"". ",English
2119,Touchy-feely,Human interactive that emphasizes physical closeness and emotional openness. The phrase is often used disparagingly in contexts where hard and businesslike behaviour is the norm.,English
2120,Tout de suite,At once.,English
2121,Tower of strength,Someone who can be relied on to provide support and comfort.,English
2122, Train surfing,"Surfing (a.k.a. surfboarding) is, in its literal meaning, the riding of a wave while standing or lying on a surfboard. ",English
2123,Trick or treat,'Trick or treat' is the ultimatum given to householders by children who call on houses to solicit gifts at Hallowe'en. ,English
2124,Trip the light fantastic,"To dance, especially in an imaginative or 'fantastic' manner. ",English
2125,Trouble and strife,Wife.,English
2126,True blue,Loyal and unwavering in one's opinions or support for a cause. ,English
2127,Truth is stranger than fiction,Literal meaning. ,English
2128,Truth will out,The truth will become known eventually. ,English
2129,Tuckered out,Exhausted. ,English
2130,Turkeys voting for Christmas,'Turkeys voting for Christmas' is used to describe people acting in a way that  is harmful to their own interests. ,English
2131,Turn a blind eye,To turn a blind eye is to knowingly refuse to acknowledge something which you know to be real. ,English
2132,Turn of phrase,A distinctive spoken or written expression. ,English
2133,Turn the tables,Reverse the positions of adversaries. The phrases is often used when the weaker position subsequently becomes dominant. ,English
2134,Turn up for the books,An unexpected piece of good fortune. ,English
2135,Turn up trumps,To turn out well or successfully.,English
2136,Twelve good men and true,A jury.,English
2137,Twenty three skidoo,Go away - scram.,English
2138,Twenty four seven,"All of the time - twenty four hours/day and seven
days/week.",English
2139,Two cents worth,An individual's opinion.,English
2140,Two heads are better than one,Two people may be able to solve a problem that an individual cannot. ,English
2141,Two peas in a pod ,'Two peas in a pod' are two identical items or people.,English
2142,Under the thumb,Completely under someone's control. ,English
2143,Under your hat - Keep it ,Keep it secret. ,English
2144,Under the auspices of,Under the control or protection of someone or some group. ,English
2145,Get - underway,Begin a journey or a project.,English
2146,Under wraps,"A thing is 'under wraps' if it is concealed from public view, with only a few insiders being aware of it. ",English
2147,Uneasy lies the head that wears a crown,"The expression 'uneasy lies the head that wears a crown' means that a person with great power, such as a king, is constantly apprehensive.",English
2148,Union Jack,The Union Jack is the popular name of the national flag of the United Kingdom. ,English
2149,The great - unwashed,"The common, lower classes; the hoi polloi.",English
2150,The - unkindest cut of all,"Brutus was
Caesar's close and trusted friend. To be stabbed by him was even more hurtful than by those who he was less intimate. ",English
2151,Up a blind alley,Following a course of action that leads to no good outcome.,English
2152,Up a gum tree,With most phrases it is the origin rather than the meaning that is in doubt. 'Up a gum tree' has several meanings. The most commonly used is 'in great difficulties'. Other meanings are 'in a state of contentment' or 'with great speed'. ,English
2153, Up in arms,Roused; incensed.,English
2154,Up the creek without a paddle,In an awkward situation or unpleasant predicament.,English
2155,Up the apples and pears,Apples and pears is Cockney rhyming slang for  stairs.,English
2156,Up the duff,"'Up the duff' is a euphemism for pregnant. It is used most commonly, although not exclusively, to describe unplanned pregnancy.",English
2157,Up the pole,"'Up the pole' has various meanings, including:",English
2158,Up the wooden hill to Bedfordshire,Go up the hill to Bedfordshire was phrase uttered to children in the UK when it was time to go upstairs to prepare for bed. The expression is now rather archaic and little-used.,English
2159,Up to snuff,"Initially, the phrase meant 'sharp and in the know'; more recently, 'up to the required standard'.",English
2160,Upper crust,Aristocratic; society superior. ,English
2161,Upper hand,Take a dominant position. ,English
2162,Up in arms,Roused; incensed.,English
2163,Ups-a-daisy,An exclamation made when encouraging a child to get up after a fall or when lifting a child into the air.,English
2164,Upset the apple-cart,To 'upset the apple-cart' is to cause upset - to create a difficulty.,English
2165,Up the ante,"To raise the stakes, either in betting or in any form of conflict or competition.",English
2166,Upside down,Turned so that the upper surface becomes the lower. ,English
2167,Urban myth,"A story, generally untrue but sometimes one that is merely exaggerated or sensationalise, that gains the status of folklore by continual retelling. Such stories, which may be old and clich̩-ridden, are often given a degree of plausibility by being updated in a contemporary setting, or by the teller's claims of personal involvement.",English
